Rank,Name,Score
1,和我签订契约，成为魔法少女吧！,'0.2275
2,暴力出奇迹,'0.2474
3,Rhodoks,'0.2813
4,Diorvh,'0.305
5,ddd2020,'0.3178
6,魔法少女球球泥把我签了吧！！,'0.42
7,杰尼龟,'0.4601
8,crescent_rose,'0.4763
9,一gay窝里giaogiao,'0.5277
10,淡黄的长裙蓬松的头发,'0.5574
11,队友把我代码交了怎么ban,'0.5646
12,IDEA,'0.5881
13,WavenZ,'0.5894
14,gtmreku,'0.5935
15,自然选择，前进四！,'0.6015
16,#507,'0.646
17,蓬松头发,'0.65
18,淡黄长裙,'0.6505
19,鸽鸽鸽,'0.6632
20,正在加载...,'0.665
21,466非线性动力学研究中心,'0.6826
22,小聂聂最可爱,'0.6895
23,前面大佬等等我,'0.7092
24,菜市场,'0.7104
25,电饭煲火锅战队,'0.7307
26,yzcyh94tc,'0.7512
27,hw4661,'0.7686
28,蛋黄的长裙唐僧的头发,'0.7835
29,hw4662,'0.787
30,CZ-5,'0.7893
31,ha,'0.8188
32,黑的北极熊,'0.8378
33,三分香七分爽,'0.8414
34,liangchen,'0.8894
35,鲈鱼,'0.93
36,hahawang,'0.9611
37,Pealicx,'0.9713
38,烧烤摊T1,'1.0394
39,程序好慢,'1.0576
40,WWC,'1.1014
41,abc_dy,'1.1074
42,求小姐姐带我,'1.1125
43,hw51590570,'1.1149
44,muzishaobing,'1.1269
45,空白永不败北,'1.1345
46,hw05073505,'1.1433
47,打个酱油~,'1.1626
48,hw89591875,'1.1947
49,就当是一场梦，醒了很久还是很感动,'1.2142
50,memleak,'1.2534
51,mmAp,'1.2552
52,hw00771387,'1.2611
53,hw55210391,'1.2954
54,hw44205069,'1.2984
55,少年，你明白了吗？ ,'1.3147
56,小白兔奶糖,'1.3701
57,集美们，别害臊，别给我装！,'1.3836
58,气s我了，上才艺,'1.3874
59,chuize,'1.3883
60,JARen_xidian,'1.3935
61,Forever_m,'1.4443
62,xiaolegao,'1.4615
63,曾阿牛,'1.467
64,hw77333090,'1.4709
65,只有魔法才能打败魔法,'1.4785
66,青年，你明白了吗？,'1.4797
67,hw23678343,'1.5081
68,hw99518242,'1.5124
69,Renatus,'1.5213
70,lccurious,'1.5305
71,wdyggg,'1.5435
72,全世界最好的你,'1.5464
73,hw45116091,'1.5653
74,巴啦啦黑魔仙,'1.6315
75,梁大爷粉丝团,'1.6711
76,hw92854224,'1.7042
77,random_circle,'1.7192
78,hw03385384,'1.7293
79,古娜拉黑暗之神,'1.7537
80,我想静静,'1.7649
81,fx-ren,'1.7676
82,laoban_qiudai,'1.7747
83,没有了，没有奇迹了,'1.7764
84,hw40598751,'1.7823
85,hw20160113,'1.7839
86,hw38572842,'1.7906
87,想当守门员,'1.794
88,小问号的朋友,'1.7964
89,醉菜,'1.7994
90,喜欢我一定很辛苦，其实我全都清楚,'1.8156
91,hw73608801,'1.8286
92,hw75155102,'1.8376
93,niuaer,'1.8489
94,VarZzzz,'1.8553
95,cdeb,'1.8682
96,run,'1.8689
97,Mxylulu,'1.869
98,没有团队就不用填团队名了吧,'1.8836
99,我永远喜欢陆陆,'1.8911
100,团队名称,'1.9007
101,BUG,'1.9031
102,Verilog天下第一,'1.913
103,zhaxzhax,'1.924
104,palindrome,'1.9331
105,早晨从中午开始,'1.9574
106,快乐风男与石头人,'1.9594
107,Oliver0047,'1.9698
108,hdu123456789,'1.9706
109,hw42260600,'1.9758
110,VicVan,'1.9806
111,kunpengNB,'1.9821
112,kdelab18,'1.9893
113,ywqqqwy,'1.996
114,垂死病中惊坐起，笑问客从何处来,'2.0356
115,守护最好的鹏鹏,'2.0357
116,hw39383290,'2.0386
117,Amazons,'2.0425
118,ZVPmaster,'2.0647
119,wyj0601,'2.0856
120,hw_2012,'2.0913
121,酸菜鱼,'2.103
122,龙湖边边,'2.1105
123,平平无奇的main.cpp,'2.1301
124,Nanoda,'2.1376
125,你好啊,'2.1507
126,xix,'2.1524
127,我是真的菜,'2.16
128,daimaohui,'2.1785
129,nia1026,'2.1806
130,macrecry,'2.1811
131,小duuuuuuu,'2.1984
132,nia1026,'2.203
133,头被楼上大佬打断了,'2.2052
134,ruiy,'2.2102
135,hw68063770,'2.2125
136,hw92174504,'2.2255
137,nia1026,'2.2262
138,nia1026,'2.2465
139,hw93604195,'2.2492
140,ssz1995,'2.2546
141,小号1,'2.2596
142,菜鸟联盟,'2.2656
143,hw76138140,'2.2688
144,平差不相信眼泪,'2.2785
145,TJUBBD,'2.2785
146,Chadiy,'2.2796
147,hzatt0429,'2.2833
148,nia1026,'2.2848
149,汪汪没想到,'2.2944
150,守护最好的鲲鲲,'2.312
151,nia1026,'2.3131
152,nia1026,'2.322
153,kde_wy,'2.326
154,Chadiy,'2.3326
155,做好挨打的准备,'2.335
156,守护最好的鲲鹏,'2.3411
157,hw32563906,'2.3497
158,coder_Lee23,'2.3533
159,1V3,'2.3586
160,头发渐稀终不悔,'2.3706
161,hw11212679,'2.3742
162,戴口罩勤洗手,'2.3902
163,233333,'2.3956
164,bohaixileiyin,'2.3957
165,nia1026,'2.398
166,试一下水,'2.42
167,高英俊,'2.4301
168,hw55191524,'2.4332
169,MDS110,'2.4337
170,hbfczp,'2.4341
171,HDU精神小伙,'2.4378
172,hahaha,'2.4654
173,山城盛夏,'2.4661
174,hw56683763,'2.4741
175,黄大佬与严小弟,'2.4921
176,90度茶,'2.5026
177,voyager3,'2.5124
178,hw46984847,'2.5336
179,YangDavid,'2.5377
180,602金龙,'2.5509
181,jackspring,'2.5636
182,zshwyj,'2.5664
183,同学，你明白了吗？,'2.57
184,F**K_COVID19,'2.5706
185,XDU-抗疫小分队,'2.5916
186,求求你们别调了,'2.5979
187,舔包我最行97,'2.5995
188,ThreeStupidCats,'2.6084
189,hw05265794,'2.6136
190,gzgywh,'2.6258
191,所以暂时将你眼睛闭了起来,'2.627
192,mengzhongyi,'2.6294
193,hw34746805,'2.6316
194,小曹,'2.6411
195,442,'2.643
196,xxx,'2.6537
197,zararo,'2.6631
198,uniuvel,'2.6696
199,Chadiy,'2.6812
200,奈奈奈,'2.6825
201,hw39338604,'2.6959
202,hw58026923,'2.7014
203,hw74964514,'2.7024
204,太难了,'2.7042
205,wrndd111,'2.7062
206,BiuBiuBiu,'2.7113
207,永远滴神,'2.7115
208,hw92551059,'2.7124
209,啥也不是,'2.714
210,www,'2.7174
211,hw49779647,'2.7225
212,hw57515763,'2.7238
213,cbleach,'2.724
214,hw49226307,'2.7242
215,水沝淼,'2.7294
216,别打了，头都歪了,'2.7307
217,老板，报告我真的憋不出来,'2.7322
218,加油！奥利给！,'2.7324
219,hhq,'2.7327
220,lalala,'2.7359
221,五五开没有开挂,'2.7367
222,BeckyPau,'2.7411
223,且随疾风前行,'2.7414
224,中年人的快乐,'2.7429
225,fan,'2.7431
226,Vampire_P,'2.7434
227,HitMAN_Reborn,'2.7466
228,Novice,'2.7472
229,hw71505835,'2.7473
230,aaa,'2.7476
231,dididi,'2.7495
232,skrskr,'2.7498
233,hw77840083,'2.7501
234,RightHere,'2.7524
235,Arch-Villain_Rafaam,'2.7525
236,ssyh,'2.7528
237,hw03568452,'2.7529
238,hw54863553,'2.7546
239,gregoryfh,'2.7551
240,TryEverything,'2.7556
241,奔跑的菜鸟,'2.7556
242,Idiots,'2.7556
243,hw24589003,'2.756
244,COCOAA,'2.7565
245,melody111,'2.7592
246,hw98299183,'2.7606
247,kkk,'2.7607
248,专吃王八杰尼龟,'2.7616
249,test,'2.7618
250,hw42248035,'2.7619
251,hw34847906,'2.762
252,hw11207117,'2.762
253,OnePiece,'2.7626
254,kexuefu,'2.7638
255,majy1115,'2.7668
256,hw01172954,'2.7671
257,MikeZ,'2.7689
258,hw12676125,'2.769
259,backkon,'2.769
260,jftong,'2.7701
261,Sideoloes,'2.7701
262,hw02559310,'2.7701
263,hahaha,'2.7704
264,asdfghjkl,'2.7723
265,hw86170966,'2.775
266,LYL525799,'2.7755
267,hw39270116,'2.7794
268,hw21301727,'2.7813
269,ccvyang,'2.7835
270,gugugu,'2.7867
271,405菜刀队,'2.7871
272,a15213038716,'2.7881
