Rank,Stage,Name,Score
1,西北赛区,Rhodoks,'0.138
2,西北赛区,ddd2020,'0.1407
3,西北赛区,Diorvh,'0.1822
4,西北赛区,柳暗花明,'0.1823
5,西北赛区,敝帚自珍,'0.1952
6,西北赛区,孤芳自赏,'0.1981
7,江山赛区,电饭煲火锅战队,'0.2139
8,上合赛区,和我签订契约，成为魔法少女吧！,'0.2275
9,上合赛区,暴力出奇迹,'0.2474
10,成渝赛区,crescent_rose,'0.2497
11,江山赛区,ykdddhhh,'0.3092
12,杭厦赛区,鸽鸽鸽,'0.3184
13,上合赛区,某科学的自然选择,'0.3199
14,杭厦赛区,gtmreku,'0.3343
15,江山赛区,杰尼龟,'0.4004
16,江山赛区,电饭煲火锅太快了,'0.4007
17,京津东赛区,WavenZ,'0.4252
18,江山赛区,程序好慢,'0.4368
19,京津东赛区,小聂聂最可爱,'0.4474
20,上合赛区,奇迹和魔法，都是存在的！,'0.4786
21,成渝赛区,青年，你明白了吗？,'0.5002
22,杭厦赛区,#507,'0.5052
23,成渝赛区,少年，你明白了吗？ ,'0.52
24,成渝赛区,全世界最好的你,'0.5206
25,江山赛区,随缘进复赛,'0.5348
26,江山赛区,周冬雨,'0.5354
27,武长赛区,Hewitt__,'0.5356
28,江山赛区,淡黄长裙,'0.5413
29,江山赛区,正在加载...,'0.5529
30,杭厦赛区,IDEA,'0.5574
31,粤港澳赛区,空白永不败北,'0.5581
32,京津东赛区,ha,'0.5769
33,杭厦赛区,CZ-5,'0.5995
34,武长赛区,muzishaobing,'0.603
35,粤港澳赛区,菜市场,'0.6092
36,西北赛区,前面大佬等等我,'0.6154
37,上合赛区,Renatus,'0.638
38,江山赛区,蓬松头发,'0.65
39,江山赛区,吉尼龟,'0.6561
40,成渝赛区,yifanvnir,'0.659
41,江山赛区,宇宙最强战队下属后勤队,'0.6718
42,京津东赛区,466非线性动力学研究中心,'0.6826
43,成渝赛区,liangchen,'0.6916
44,京津东赛区,zequnyu,'0.7069
45,杭厦赛区,hw68063770,'0.7087
46,武长赛区,wdyggg,'0.7141
47,杭厦赛区,五桶统一,'0.7156
48,江山赛区,大哥酱油,'0.7212
49,西北赛区,云玩家,'0.7261
50,成渝赛区,Pealicx,'0.7318
51,江山赛区,剑指的方向~就是天才的故乡！,'0.7321
52,江山赛区,hw34480857,'0.7492
53,西北赛区,WWC,'0.7526
54,上合赛区,黑的北极熊,'0.7636
55,京津东赛区,hw4661,'0.7686
56,杭厦赛区,蛋黄的长裙唐僧的头发,'0.7791
57,江山赛区,关于转生到初赛去被DFS吊打这件事,'0.7806
58,成渝赛区,max gogogo,'0.7844
59,西北赛区,hw05073505,'0.7848
60,京津东赛区,hw4662,'0.787
61,武长赛区,打个酱油~,'0.7918
62,江山赛区,三分香七分爽,'0.7965
63,杭厦赛区,VarZzzz,'0.7976
64,京津东赛区,提交试一下,'0.803
65,杭厦赛区,mmAp,'0.8034
66,上合赛区,只有魔法才能打败魔法,'0.809
67,上合赛区,我想静静,'0.8238
68,江山赛区,所有的星星眼~都在等着一颗星！,'0.8255
69,上合赛区,魔法>奇迹>科学>魔法,'0.8278
70,西北赛区,hahawang,'0.8407
71,杭厦赛区,求小姐姐带我,'0.8448
72,武长赛区,总是要取名就很难受,'0.8627
73,杭厦赛区,也不是不行,'0.8636
74,成渝赛区,hw45116091,'0.8665
75,杭厦赛区,小白兔奶糖,'0.8754
76,成渝赛区,hw04037709,'0.8977
77,粤港澳赛区,chuize,'0.9058
78,上合赛区,???,'0.9156
79,成渝赛区,max火力全开,'0.922
80,成渝赛区,hw23655024,'0.9297
81,杭厦赛区,Amazons,'0.9317
82,成渝赛区,IOT_TEAM3,'0.9345
83,西北赛区,啪啪啪,'0.9533
84,成渝赛区, VivaLaVida,'0.9647
85,京津东赛区,小问号,'0.9739
86,成渝赛区,zararo2,'0.976
87,上合赛区,垂死病中惊坐起，笑问客从何处来,'0.9804
88,京津东赛区,小问号的朋友,'0.9837
89,江山赛区,hw00771387,'1.0129
90,西北赛区,Forever_m,'1.0133
91,成渝赛区,bird-610098971,'1.0262
92,成渝赛区,Always Debug,'1.0367
93,江山赛区,hw55210391,'1.0591
94,杭厦赛区,lccurious,'1.0684
95,西北赛区,zhang_sai_zs,'1.0784
96,杭厦赛区,hw89591875,'1.079
97,杭厦赛区,zjy1996,'1.091
98,武长赛区,且随疾风前行,'1.0917
99,上合赛区,我不会C++,'1.0945
100,西北赛区,JARen_xidian,'1.0948
101,杭厦赛区,neovim,'1.0981
102,杭厦赛区,abc_dy,'1.1074
103,上合赛区,hw76138140,'1.1097
104,西北赛区,macrecry,'1.1116
105,杭厦赛区,工大的向日葵看不到了,'1.1149
106,上合赛区,zy87896052,'1.1326
107,上合赛区,奇迹和膜法，都是需要版号的,'1.1738
108,西北赛区,喜欢我一定很辛苦，其实我全都清楚,'1.1771
109,杭厦赛区,fx-ren,'1.2142
110,西北赛区,就当是一场梦，醒了很久还是很感动,'1.2142
111,粤港澳赛区,JiaquanYan,'1.2351
112,上合赛区,hbfczp,'1.2376
113,西北赛区,还是很想被你保护我心里的惨痛,'1.2424
114,成渝赛区,IOT_TEAM,'1.2506
