Rank,Name,Score
1,西北赛区,bc4cf7,'0.1339
2,西北赛区,孤芳自赏,'0.1738
3,京津东赛区,小聂聂最可爱,'0.198
4,江山赛区,电饭煲火锅战队,'0.2139
5,上合赛区,和我签订契约，成为魔法少女吧！,'0.2275
6,成渝赛区,crescent_rose,'0.2447
7,上合赛区,暴力出奇迹,'0.2474
8,杭厦赛区,鸽鸽鸽,'0.2888
9,江山赛区,ykdddhhh,'0.3092
10,上合赛区,某科学的自然选择,'0.3199
11,杭厦赛区,gtmreku,'0.3242
12,上合赛区,hw61384662,'0.3387
13,上合赛区,奇迹和魔法，都是存在的！,'0.3448
14,江山赛区,杰尼龟,'0.4004
15,江山赛区,电饭煲火锅太快了,'0.4007
16,江山赛区,程序好慢,'0.4187
17,成渝赛区,少年，你明白了吗？,'0.4196
18,京津东赛区,WavenZ,'0.4252
19,上合赛区,烧烤摊T1,'0.4276
20,江山赛区,华为C/C++软件大赛,'0.4362
21,武长赛区,wdyggg,'0.4678
22,江山赛区,随缘进复赛,'0.4736
23,杭厦赛区,也不是不行,'0.4753
24,江山赛区,周冬雨,'0.4765
25,武长赛区,总是要取名就很难受,'0.4869
26,上合赛区,hw18191312,'0.498
27,成渝赛区,青年，你明白了吗？,'0.5002
28,杭厦赛区,#507,'0.501
29,武长赛区,打个酱油~,'0.5078
30,成渝赛区,全世界最好的你,'0.5206
31,上合赛区,静望,'0.5282
32,武长赛区,Hewitt__,'0.5356
33,江山赛区,淡黄长裙,'0.5413
34,江山赛区,正在加载...,'0.5454
35,上合赛区,守望,'0.5477
36,杭厦赛区,IDEA,'0.5574
37,粤港澳赛区,空白永不败北,'0.5581
38,西北赛区,hw67314207,'0.5657
39,江山赛区,蓬松头发,'0.5677
40,成渝赛区,hw67314207,'0.5694
41,粤港澳赛区,yesILoveJoyce,'0.5698
42,上合赛区,观望,'0.5731
43,京津东赛区,ha,'0.5769
44,江山赛区,hw67314207,'0.5839
45,杭厦赛区,CZ-5,'0.5995
46,成渝赛区,hw97866806,'0.603
47,武长赛区,muzishaobing,'0.603
48,粤港澳赛区,菜市场,'0.6092
49,成渝赛区,hw68958279,'0.6096
50,西北赛区,前面大佬等等我,'0.6154
51,京津东赛区,zequnyu,'0.6155
52,江山赛区,9977744,'0.622
53,江山赛区,大哥酱油,'0.6279
54,上合赛区,垂死病中惊坐起，笑问客从何处来,'0.6297
55,成渝赛区,Pealicx,'0.6318
56,上合赛区,Renatus,'0.638
57,江山赛区,吉尼龟,'0.6561
58,西北赛区,macrecry,'0.6565
59,成渝赛区,voyager3,'0.6573
60,成渝赛区,yifanvnir,'0.659
61,江山赛区,hw96234002,'0.6718
62,江山赛区,关于转生到初赛去被DFS吊打这件事,'0.6743
63,成渝赛区,IOT_TEAM,'0.6819
64,京津东赛区,466非线性动力学研究中心,'0.6826
65,江山赛区,2147483647,'0.6847
66,西北赛区,小duuuuuuu,'0.6914
67,成渝赛区,liangchen,'0.6916
68,上合赛区,hw99518242,'0.697
69,成渝赛区,uestcer,'0.6973
70,成渝赛区,Yumisweet,'0.7127
71,杭厦赛区,五桶统一,'0.7156
72,西北赛区,WWC,'0.7221
73,成渝赛区,hw00558584,'0.7227
74,西北赛区,云玩家,'0.7261
75,江山赛区,剑指的方向~就是天才的故乡！,'0.7321
76,江山赛区,额上有疤的男人~个个都是传奇！,'0.7411
77,江山赛区,hw34480857,'0.7492
78,上合赛区,黑的北极熊,'0.7636
79,京津东赛区,hw4661,'0.7686
80,江山赛区,三分香七分爽,'0.7777
81,杭厦赛区,蛋黄的长裙唐僧的头发,'0.7791
82,杭厦赛区,小白兔奶糖,'0.7793
83,上合赛区,sleep-10,'0.7838
84,成渝赛区,max gogogo,'0.7844
85,西北赛区,hw05073505,'0.7848
86,京津东赛区,hw4662,'0.787
87,上合赛区,只有魔法才能打败魔法,'0.7913
88,杭厦赛区,VarZzzz,'0.7976
89,京津东赛区,提交试一下,'0.803
90,杭厦赛区,mmAp,'0.8034
91,上合赛区,LIUQQQQQ,'0.8099
92,上合赛区,Hanmt_,'0.8105
93,杭厦赛区,12345,'0.8121
94,上合赛区,我想静静,'0.8238
95,上合赛区,小火车,'0.8241
96,江山赛区,所有的星星眼~都在等着一颗星！,'0.8255
97,杭厦赛区,fx-ren,'0.83
98,西北赛区,hw58241489,'0.838
99,京津东赛区,小问号,'0.8385
100,上合赛区,咱也没想到这么难,'0.84
101,西北赛区,hahawang,'0.8407
102,成渝赛区,Exusiai,'0.8425
103,西北赛区,小号1,'0.8427
104,西北赛区,啪啪啪,'0.8428
105,杭厦赛区,求小姐姐带我,'0.8447
106,京津东赛区,小问号的朋友,'0.8475
107,武长赛区,fang,'0.8508
108,西北赛区,对不队,'0.8605
109,粤港澳赛区,chuize,'0.8623
110,粤港澳赛区,黄大佬与严小弟,'0.8652
111,成渝赛区,hw45116091,'0.8665
112,成渝赛区,hw80470662,'0.8667
113,粤港澳赛区,666233,'0.8731
114,成渝赛区,LittleFisher,'0.8791
115,杭厦赛区,hw89591875,'0.8939
116,成渝赛区,hw04037709,'0.8977
117,杭厦赛区,Amazons,'0.8993
118,上合赛区,ADDAA96FD6304A9F952A4433A087610D,'0.9156
119,成渝赛区,max火力全开,'0.922
120,上合赛区,zy87896052,'0.9293
121,成渝赛区,hw23655024,'0.9297
122,杭厦赛区,杰出不凡之猪,'0.9358
123,成渝赛区,ssz1995,'0.9399
124,武长赛区,442,'0.9469
125,成渝赛区,VergilAlan,'0.9562
126,成渝赛区, VivaLaVida,'0.9647
127,西北赛区,Forever_m,'0.9651
128,武长赛区,hw48023222,'0.9664
129,成渝赛区,zararo2,'0.976
130,上合赛区,lcc12345,'0.978
131,江山赛区,hw55210391,'0.9815
132,上合赛区,hw26167070,'0.9892
133,武长赛区,90度茶,'0.9914
134,江山赛区,hw39338604,'0.9984
135,杭厦赛区,gregoryfh,'1.0094
136,江山赛区,hw00771387,'1.0129
137,成渝赛区,bird-610098971,'1.0262
138,武长赛区,suiyuanquming,'1.03
139,武长赛区,十七张牌你能秒我？,'1.0341
140,武长赛区,hw63722084,'1.0359
141,西北赛区,StarFading,'1.0414
142,粤港澳赛区,JiaquanYan,'1.0422
143,粤港澳赛区,kim_tim,'1.0525
144,成渝赛区,hwYWYW,'1.0641
145,武长赛区,五五开没有开挂,'1.0675
146,杭厦赛区,lccurious,'1.0684
147,成渝赛区,戴口罩勤洗手,'1.0692
148,杭厦赛区,dddbbbpppqqq,'1.0784
149,西北赛区,zhang_sai_zs,'1.0784
150,上合赛区,mysakure,'1.0808
151,上合赛区,hzatt0429,'1.0868
152,杭厦赛区,zjy1996,'1.091
153,武长赛区,且随疾风前行,'1.0917
154,上合赛区,我不会C++,'1.0945
155,上合赛区,MDS110,'1.0947
156,西北赛区,JARen_xidian,'1.0948
157,杭厦赛区,hw73608801,'1.0981
158,杭厦赛区,abc_dy,'1.1074
159,上合赛区,hw76138140,'1.1097
160,京津东赛区,hw34590657,'1.1104
161,杭厦赛区,工大的向日葵看不到了,'1.1149
162,武长赛区,hw14571351,'1.1152
163,江山赛区,憨憨敬礼,'1.12
164,武长赛区,hw61107423,'1.1282
165,杭厦赛区,ROCKET,'1.154
166,武长赛区,hw44783583,'1.1582
167,京津东赛区,娃哈哈,'1.1649
168,西北赛区,kunpengNB,'1.1722
169,上合赛区,奇迹和膜法，都是需要版号的,'1.1738
170,西北赛区,喜欢我一定很辛苦，其实我全都清楚,'1.1771
171,江山赛区,hw68154727,'1.1841
172,西北赛区,还是很想被你保护我心里的惨痛,'1.1849
173,江山赛区,凡凡别打小宇了，别打了别打了,'1.192
174,杭厦赛区,hw23678343,'1.1958
175,京津东赛区,一闪一闪亮晶晶,'1.207
176,西北赛区,就当是一场梦，醒了很久还是很感动,'1.2142
177,江山赛区,汪汪没想到,'1.2372
178,上合赛区,hbfczp,'1.2376
179,上合赛区,Sorry_feynman1999,'1.2426
180,上合赛区,笨比东西,'1.2559
181,成渝赛区,我真的一滴都没有了,'1.2572
182,杭厦赛区,mysakure,'1.2642
183,江山赛区,hw84711746,'1.2738
184,成渝赛区,不出门勤消毒,'1.2779
185,江山赛区,hw77333090,'1.279
186,武长赛区,mysakure,'1.279
187,上合赛区,pigpig,'1.2798
188,成渝赛区,test_8803_2,'1.2969
189,成渝赛区,mysakure,'1.2979
190,杭厦赛区,hw44205069,'1.2984
