Rank,Name,Score,UserList
1,西北赛区,bc4cf7,'0.1189,ddd2020;Diorvh;Rhodoks;
2,西北赛区,孤芳自赏,'0.165,chier;yangzhi__;XDUls;
3,成渝赛区,Crescent_Rose(咸鱼反击QAQ),'0.1963,emengdeath;FoolishMe;kp600168;
4,京津东赛区,小聂聂最可爱,'0.198,ChenchenBUPT;a627665552;
5,江山赛区,杰尼龟,'0.1988,bitmap;maxPG;xionglan22;
6,上合赛区,溜了溜了,'0.2,hw31421882;
7,京津东赛区,BUAA1504Bzyj,'0.2056,BUAA1504Bzyj;
8,京津东赛区,WavenZpro,'0.2084,WavenZpro;
9,京津东赛区,WavenZ,'0.2091,WavenZ;
10,杭厦赛区,能不能注销啊啊啊,'0.2102,hw80097264;
11,江山赛区,电饭煲火锅战队,'0.2139,yangwuuu;
12,成渝赛区,等等我啊！,'0.2265,uestcer;
13,上合赛区,和我签订契约，成为魔法少女吧！,'0.2275,mlzeng;
14,西北赛区,hw29589329,'0.2321,hw29589329;
15,西北赛区,hw74040016,'0.2329,hw74040016;
16,上合赛区,暴力出奇迹,'0.2353,sunsiyu;fstqwq;Tommyr7;
17,江山赛区,杰尼鹅,'0.2364,KarlFreecss;
18,西北赛区,macrecry,'0.2416,macrecry;
19,杭厦赛区,鸽鸽鸽,'0.248,reku1997;hw89504302;
20,江山赛区,杰尼鸭,'0.2566,ingramwj;
21,杭厦赛区,gtmreku,'0.2578,heyshb;
22,成渝赛区,我还没上车啊喂,'0.2603,hw00558584;
23,成渝赛区,前面的慢点,'0.2626,hw31743840;
24,成渝赛区,demo,'0.2628,hw80097264;
25,西北赛区,hw55875021,'0.2632,hw55875021;
26,成渝赛区,yifanvnir,'0.2642,yifanvnir;
27,西北赛区,WWC,'0.2653,hw86049023;
28,成渝赛区,xiaojiongxiaoxie,'0.2661,xiaojiongxiaoxie;
29,成渝赛区,zl_Cheng,'0.2668,zl_Cheng;
30,上合赛区,某科学的自然选择,'0.269,Ruby_Ocelot;
31,武长赛区,打个酱油~,'0.2733,hw66940315;
32,成渝赛区,呼呼哈哈,'0.2743,hw68958279;
33,武长赛区,muzishaobing,'0.2743,muzishaobing;
34,上合赛区,hejiyan,'0.2748,hejiyan;
35,上合赛区,奇迹和魔法，都是存在的！,'0.2754,ldeng1997;betterxys;
36,粤港澳赛区,北二饭堂真好吃,'0.2764,math_is_too_difficult;
37,上合赛区,hw18191312,'0.2771,hw18191312;
38,武长赛区,Hewitt__,'0.2777,Hewitt__;
39,京津东赛区,XLY,'0.2781,hw36276009;
40,成渝赛区,hw97866806,'0.2789,hw97866806;
41,粤港澳赛区,奥特曼大战小怪兽,'0.2837,hw83101316;
42,西北赛区,hw95973867,'0.2925,hw95973867;
43,粤港澳赛区,yesILoveJoyce,'0.3044,yesILoveJoyce;
44,江山赛区,ykdddhhh,'0.3092,ykdddhhh;
45,江山赛区,P40 pro +,'0.312,xingmou;
46,江山赛区,P40,'0.3146,yzcyh94tc;
47,粤港澳赛区,空白永不败北,'0.3152,cxq233;
48,杭厦赛区,#507,'0.3163,xavier_cai;SleepZzz;darkflamehxy;
49,西北赛区,XD_F3,'0.3179,hw80967104;
50,武长赛区,你们好多小号,'0.3257,hw24447531;
51,成渝赛区,xujingle1995,'0.3278,xujingle1995;
52,粤港澳赛区,hw44770994,'0.3303,hw44770994;
53,京津东赛区,塞班,'0.3306,hw62624892;hw03080935;
54,武长赛区,小号呀,'0.3337,hw06564395;
55,江山赛区,得得得得得得得得得得得得,'0.334,hw79751889;yunqihuang;yulin-liu;
56,海外赛区,好嗨哟,'0.3342,xujingle1995;
57,武长赛区,本小号怎么处理,'0.3361,hw65179150;
58,江山赛区,P40 pro,'0.3369,sssChenHD;
59,上合赛区,hw61384662,'0.3387,hw61384662;
60,粤港澳赛区,chuize,'0.3387,chuize;
61,武长赛区,嗨呀好气呀,'0.3397,xujingle1995;
62,西北赛区,hw14441904,'0.3398,hw14441904;
63,西北赛区,31243141241,'0.3402,xujingle1995;
64,杭厦赛区,xujingle1995,'0.3411,xujingle1995;
65,上合赛区,七个小矮人,'0.3413,hw44770994;
66,西北赛区,9999小号,'0.3419,hw24447531;
67,武长赛区,wdyggg,'0.3427,hw11796938;
68,西北赛区,GGGGGGd,'0.3428,GGGGGGd;
69,江山赛区,2147483647,'0.3441,hw74910943;ni_gay_lu_da_yo;karstagger;
70,上合赛区,332,'0.3452,hw88811113;
71,江山赛区,2144858364972,'0.3466,hw24447531;
72,上合赛区,烧烤摊T1,'0.3481,ronnywang;
73,成渝赛区,hw44770994,'0.3503,hw44770994;
74,杭厦赛区,哑巴湖大水怪,'0.3506,hw44770994;
75,武长赛区,且随疾风前行,'0.3512,creator7;
76,西北赛区,hw05073505,'0.3521,hw05073505;
77,江山赛区,淡黄长裙,'0.3534,hw22465358;
78,江山赛区,正在加载...,'0.3549,chinesename;
79,上合赛区,xujingle1995,'0.3552,xujingle1995;
80,成渝赛区,zhh还是没有女朋友,'0.3556,zhhnogirlfriend;
81,江山赛区,xujingle1995,'0.3558,xujingle1995;
82,武长赛区,jackspring,'0.3615,jackspring;
83,粤港澳赛区,你们别这样啊，我也来..,'0.3636,hw24447531;
84,成渝赛区,Forgot to sleep,'0.3644,Tinysand2;
