Rank,Stage,Name,Score,UserList
1,西北赛区,bc4cf7,'0.1171,ddd2020; Diorvh; Rhodoks; 
2,西北赛区,孤芳自赏,'0.1451,chier; XDUls; yangzhi__; 
3,粤港澳赛区,菜市场,'0.1704,guyinyou; hw88321559; hw14579791; 
4,成渝赛区,上不动分了,'0.176,hw31743840; 
5,杭厦赛区,LZY,'0.1797,zgpiov; niuaer; VarZzzz; 
6,成渝赛区,Crescent_Rose(你们怎么这么厉害啊QAQ),'0.1807,emengdeath; FoolishMe; kp600168; 
7,京津东赛区,1504b,'0.183,BUAA1504Bzl; 
8,京津东赛区,temp,'0.1849,BUAA1504Bzyj; 
9,粤港澳赛区,chuize,'0.1899,chuize; 
10,京津东赛区,小聂聂最可爱,'0.198,ChenchenBUPT; a627665552; 
11,江山赛区,杰尼龟,'0.1982,bitmap; maxPG; xionglan22; 
12,江山赛区,先喝奶茶慢慢等,'0.2003,KarlFreecss; ingramwj; 
13,粤港澳赛区,Z的绝对值,'0.2008,yesILoveJoyce; 
14,粤港澳赛区,奥特曼大战小怪兽,'0.2027,hw83101316; 
15,京津东赛区,BUAA1504Bzyb,'0.2036,BUAA1504Bzyb; 
16,江山赛区,三三得九,'0.205,Pyke95; hy1013; hw78040398; 
17,京津东赛区,hw34590657,'0.208,hw34590657; 
18,上合赛区,后宫佳丽三千人，铁杵磨成绣花针,'0.2087,hw18191312; 
19,杭厦赛区,摸摸鱼,'0.2102,hw80097264; 
20,京津东赛区,XLY,'0.2122,hw36276009; 
21,江山赛区,电饭煲火锅战队,'0.2139,yangwuuu; 
22,西北赛区,其他区小号,'0.2186,hw44770994; 
23,西北赛区,hw76127896,'0.2193,hw76127896; 
24,武长赛区,jimocaixuexi,'0.2255,jimocaixuexi; 
25,成渝赛区,等等我啊！,'0.2265,uestcer; 
26,上合赛区,和我签订契约，成为魔法少女吧！,'0.2275,mlzeng; 
27,上合赛区,kde_wy,'0.229,kde_wy; 
28,杭厦赛区,gtmreku,'0.2315,heyshb; 
29,杭厦赛区,鸽鸽鸽,'0.2316,reku1997; hw89504302; 
30,西北赛区,hw55875021,'0.2318,hw55875021; 
31,西北赛区,macrecry,'0.2321,macrecry; hw29589329; hw74040016; 
32,西北赛区,hahawang,'0.2327,hw92500782; 
33,西北赛区,hw14441904,'0.2337,hw14441904; 
34,西北赛区,WWC,'0.2348,hw86049023; 
35,上合赛区,暴力出奇迹,'0.2353,sunsiyu; fstqwq; Tommyr7; 
36,西北赛区,hw05073505,'0.2366,hw05073505; 
37,武长赛区,且随疾风前行,'0.2374,creator7; 
38,粤港澳赛区,空白永不败北,'0.2392,cxq233; 
39,上合赛区,某科学的自然选择,'0.2399,Ruby_Ocelot; 
40,西北赛区,大果子,'0.2454,virtual_reality; 
41,武长赛区,TxL___,'0.2463,TxL___; 
42,武长赛区,jimocaishuafen,'0.2465,jimocaishuafen; 
43,西北赛区,别打了，头都歪了,'0.2468,mosfet69; 
44,江山赛区,Eason6688,'0.2497,Eason6688; 
45,西北赛区,臭黄泥巴落裤裆,'0.2499,hw55991984; 
46,武长赛区,muzishaobing,'0.2501,muzishaobing; 
47,武长赛区,Hewitt__,'0.2509,Hewitt__; 
48,上合赛区,静望,'0.2517,RubyHong; 
49,武长赛区,wdyggg,'0.2522,hw11796938; 
50,上合赛区,huawei3122141,'0.2527,virtual_reality; 
51,武长赛区,小号呀,'0.2528,hw06564395; 
52,京津东赛区,virtual_reality,'0.2532,virtual_reality; 
53,江山赛区,P40,'0.2548,yzcyh94tc; 
54,成渝赛区,liangchen,'0.2552,liangchen; 
55,江山赛区,P40 pro +,'0.2564,xingmou; 
56,西北赛区,Forever_m,'0.2564,Forever_m; 
57,杭厦赛区,virtual_reality,'0.2574,virtual_reality; 
58,成渝赛区,IamWQM,'0.2586,IamWQM; 
59,西北赛区,hw88888888,'0.2592,JARen_xidian; 
60,成渝赛区,我还没上车啊喂,'0.2603,hw00558584; 
61,京津东赛区,TxL___,'0.2615,TxL___; 
62,成渝赛区,demo,'0.2628,hw80097264; 
63,成渝赛区,yifanvnir,'0.2642,yifanvnir; 
64,成渝赛区,xiaojiongxiaoxie,'0.2661,xiaojiongxiaoxie; 
65,成渝赛区,zl_Cheng,'0.2668,zl_Cheng; 
66,武长赛区,打个酱油~,'0.2669,Hyacinth_; 
67,西北赛区,RNG,'0.2688,hw42336807; 
68,粤港澳赛区,666233,'0.2738,hw84598881; 
69,成渝赛区,呼呼哈哈,'0.2743,hw68958279; 
70,上合赛区,hejiyan,'0.2748,hejiyan; 
71,上合赛区,奇迹和魔法，都是存在的！,'0.2754,ldeng1997; betterxys; 
