Rank,Name,Score
1,和我签订契约，成为魔法少女吧！,'0.2275
2,暴力出奇迹,'0.2474
3,ddd2020,'0.3178
4,Diorvh,'0.34
5,魔法少女球球泥把我签了吧！！,'0.42
6,杰尼龟,'0.4601
7,crescent_rose,'0.4763
8,一gay窝里giaogiao,'0.5277
9,淡黄的长裙蓬松的头发,'0.5574
10,队友把我代码交了怎么ban,'0.5646
11,IDEA,'0.5881
12,WavenZ,'0.5894
13,gtmreku,'0.5935
14,自然选择，前进四！,'0.6015
15,#507,'0.646
16,蓬松头发,'0.65
17,淡黄长裙,'0.6505
18,鸽鸽鸽,'0.6632
19,正在加载...,'0.6687
20,466非线性动力学研究中心,'0.6826
21,小聂聂最可爱,'0.6895
22,前面大佬等等我,'0.7092
23,菜市场,'0.7104
24,yzcyh94tc,'0.7512
25,hw4661,'0.7686
26,蛋黄的长裙唐僧的头发,'0.7835
27,hw4662,'0.787
28,CZ-5,'0.7893
29,ha,'0.8188
30,三分香七分爽,'0.8414
31,liangchen,'0.8894
32,鲈鱼,'0.93
33,hahawang,'0.9611
34,Pealicx,'0.9713
35,烧烤摊T1,'1.0394
36,程序好慢,'1.0576
37,WWC,'1.1014
38,abc_dy,'1.1074
39,求小姐姐带我,'1.1125
40,hw51590570,'1.1149
41,muzishaobing,'1.1269
42,空白永不败北,'1.1345
43,hw05073505,'1.1433
44,打个酱油~,'1.1626
45,hw89591875,'1.1947
46,就当是一场梦，醒了很久还是很感动,'1.2142
47,memleak,'1.2534
48,mmAp,'1.2552
49,hw00771387,'1.2611
50,hw55210391,'1.2954
51,hw44205069,'1.2984
52,少年，你明白了吗？ ,'1.3147
53,集美们，别害臊，别给我装！,'1.3836
54,气s我了，上才艺,'1.3874
55,chuize,'1.3883
56,JARen_xidian,'1.3935
57,Forever_m,'1.4443
58,小白兔奶糖,'1.4591
59,曾阿牛,'1.467
60,hw77333090,'1.4709
61,只有魔法才能打败魔法,'1.4785
62,青年，你明白了吗？,'1.4797
63,Rhodoks,'1.5042
64,hw23678343,'1.5081
65,hw99518242,'1.5124
66,Renatus,'1.5213
67,wdyggg,'1.5435
68,全世界最好的你,'1.5464
69,hw45116091,'1.5653
70,巴啦啦黑魔仙,'1.6315
71,梁大爷粉丝团,'1.6711
72,hw92854224,'1.7042
73,random_circle,'1.7192
74,古娜拉黑暗之神,'1.7537
75,我想静静,'1.7649
76,fx-ren,'1.7676
77,laoban_qiudai,'1.7747
78,没有了，没有奇迹了,'1.7764
79,hw40598751,'1.7823
80,hw20160113,'1.7839
81,hw38572842,'1.7906
82,想当守门员,'1.794
83,小问号的朋友,'1.7964
84,醉菜,'1.7994
85,喜欢我一定很辛苦，其实我全都清楚,'1.8156
86,hw73608801,'1.8286
87,hw75155102,'1.8376
88,niuaer,'1.8489
89,VarZzzz,'1.8553
90,cdeb,'1.8682
91,run,'1.8689
92,Mxylulu,'1.869
93,没有团队就不用填团队名了吧,'1.8836
94,我永远喜欢陆陆,'1.8911
95,团队名称,'1.9007
96,BUG,'1.9031
97,Verilog天下第一,'1.913
98,zhaxzhax,'1.924
99,palindrome,'1.9331
100,早晨从中午开始,'1.9574
101,快乐风男与石头人,'1.9594
102,Oliver0047,'1.9698
103,hdu123456789,'1.9706
104,hw42260600,'1.9758
105,VicVan,'1.9806
106,kunpengNB,'1.9821
107,kdelab18,'1.9893
108,ywqqqwy,'1.996
109,垂死病中惊坐起，笑问客从何处来,'2.0356
110,守护最好的鹏鹏,'2.0357
111,hw39383290,'2.0386
112,Amazons,'2.0425
113,ZVPmaster,'2.0647
114,wyj0601,'2.0856
115,hw_2012,'2.0913
116,酸菜鱼,'2.103
117,龙湖边边,'2.1105
118,平平无奇的main.cpp,'2.1301
119,Nanoda,'2.1376
120,你好啊,'2.1507
121,lccurious,'2.1517
122,xix,'2.1524
123,我是真的菜,'2.16
124,daimaohui,'2.1785
125,macrecry,'2.1811
126,小duuuuuuu,'2.1984
127,头被楼上大佬打断了,'2.2052
128,ruiy,'2.2102
129,hw68063770,'2.2125
130,hw92174504,'2.2255
131,nia1026,'2.2262
132,nia1026,'2.2465
133,hw93604195,'2.2492
134,ssz1995,'2.2546
135,小号1,'2.2596
136,菜鸟联盟,'2.2656
137,hw76138140,'2.2688
138,平差不相信眼泪,'2.2785
139,TJUBBD,'2.2785
140,Chadiy,'2.2796
141,hzatt0429,'2.2833
142,nia1026,'2.2848
143,汪汪没想到,'2.2944
144,守护最好的鲲鲲,'2.312
145,nia1026,'2.3131
146,nia1026,'2.322
147,kde_wy,'2.326
148,Chadiy,'2.3326
149,做好挨打的准备,'2.335
150,守护最好的鲲鹏,'2.3411
151,hw32563906,'2.3497
152,coder_Lee23,'2.3533
153,1V3,'2.3586
154,头发渐稀终不悔,'2.3706
155,hw11212679,'2.3742
156,戴口罩勤洗手,'2.3902
157,233333,'2.3956
158,bohaixileiyin,'2.3957
159,nia1026,'2.398
160,试一下水,'2.42
161,高英俊,'2.4301
162,hw55191524,'2.4332
163,MDS110,'2.4337
164,hbfczp,'2.4341
165,HDU精神小伙,'2.4378
166,hahaha,'2.4654
167,山城盛夏,'2.4661
168,hw56683763,'2.4741
169,黄大佬与严小弟,'2.4921
170,90度茶,'2.5026
171,voyager3,'2.5124
172,hw46984847,'2.5336
173,YangDavid,'2.5377
174,jackspring,'2.5636
175,zshwyj,'2.5664
176,同学，你明白了吗？,'2.57
177,F**K_COVID19,'2.5706
178,XDU-抗疫小分队,'2.5916
179,求求你们别调了,'2.5979
180,ThreeStupidCats,'2.6084
181,hw05265794,'2.6136
182,gzgywh,'2.6258
183,所以暂时将你眼睛闭了起来,'2.627
184,mengzhongyi,'2.6294
185,hw34746805,'2.6316
186,小曹,'2.6411
187,442,'2.643
188,xxx,'2.6537
189,zararo,'2.6631
190,uniuvel,'2.6696
191,Chadiy,'2.6812
192,奈奈奈,'2.6825
193,hw39338604,'2.6959
194,hw74964514,'2.7024
195,太难了,'2.7042
196,wrndd111,'2.7062
197,BiuBiuBiu,'2.7113
198,永远滴神,'2.7115
199,hw92551059,'2.7124
200,啥也不是,'2.714
201,www,'2.7174
202,hw49779647,'2.7225
203,hw57515763,'2.7238
204,cbleach,'2.724
205,hw49226307,'2.7242
206,水沝淼,'2.7294
207,别打了，头都歪了,'2.7307
208,老板，报告我真的憋不出来,'2.7322
209,加油！奥利给！,'2.7324
210,hhq,'2.7327
211,lalala,'2.7359
212,五五开没有开挂,'2.7367
213,BeckyPau,'2.7411
214,且随疾风前行,'2.7414
215,中年人的快乐,'2.7429
216,fan,'2.7431
217,Vampire_P,'2.7434
218,HitMAN_Reborn,'2.7466
219,Novice,'2.7472
220,hw71505835,'2.7473
221,aaa,'2.7476
222,dididi,'2.7495
223,skrskr,'2.7498
224,hw77840083,'2.7501
225,RightHere,'2.7524
226,Arch-Villain_Rafaam,'2.7525
227,ssyh,'2.7528
228,hw03568452,'2.7529
229,hw54863553,'2.7546
230,gregoryfh,'2.7551
231,TryEverything,'2.7556
232,奔跑的菜鸟,'2.7556
233,Idiots,'2.7556
234,hw24589003,'2.756
235,COCOAA,'2.7565
236,melody111,'2.7592
237,hw98299183,'2.7606
238,kkk,'2.7607
239,专吃王八杰尼龟,'2.7616
240,test,'2.7618
241,hw42248035,'2.7619
242,hw34847906,'2.762
243,hw11207117,'2.762
244,OnePiece,'2.7626
245,kexuefu,'2.7638
246,majy1115,'2.7668
247,hw01172954,'2.7671
248,MikeZ,'2.7689
249,hw12676125,'2.769
250,backkon,'2.769
251,电饭煲火锅战队,'2.7695
252,jftong,'2.7701
253,Sideoloes,'2.7701
254,hw02559310,'2.7701
255,hahaha,'2.7704
256,asdfghjkl,'2.7723
257,hw86170966,'2.775
258,LYL525799,'2.7755
259,hw39270116,'2.7794
260,hw21301727,'2.7813
261,ccvyang,'2.7835
262,gugugu,'2.7867
263,405菜刀队,'2.7871
264,a15213038716,'2.7881
265,Hilvcha,'2.8029
266,hw45679089,'2.804
267,Tinysand2,'2.8154
268,小谷围男子职业技术学院,'2.8184
269,111,'2.8194
270,hw68701376,'2.8301
271,wlqcloud,'2.8355
